username_length,num_followers,num_following,posts_count,is_private,has_profile_pic,bio_length,avg_likes,avg_comments,account_age_days,follower_following_ratio,is_verified,engagement_rate,growth_score,username_suspicious_score,label
17,220269,1993,129,0,1,152,32134,914,2704,110.466,0,0.15,90.97,1.0,0
16,155004,2805,263,0,1,192,11666,318,2521,55.241,0,0.0773,64.0,1.0,0
11,7,27,3,0,0,26,0,2,87,0.286,0,0.2857,0.08,0.91,1
9,9,27,2,0,0,26,0,0,51,0.357,0,0.0,0.2,0.86,1
3,14996,265,378,1,1,21,0,0,1640,56.38,0,0.0,9.3,0.2,0
17,249633,938,253,0,1,136,5113,173,1979,265.851,0,0.0212,113.26,1.0,0
4,870991,1957,221,0,1,64,115875,5605,354,444.838,0,0.1395,2830.84,0.27,0
15,10952,231,442,1,1,101,0,0,2215,47.211,0,0.0,4.33,1.0,0
16,2980,271,441,1,1,124,0,0,678,10.96,0,0.0,4.55,1.0,0
14,937982,2621,283,0,1,172,59415,2179,1257,357.736,0,0.0657,840.25,0.93,0
8,366005,2678,277,0,1,135,4451,193,3697,136.62,0,0.0127,94.47,0.53,0
7,913829,2751,86,0,1,61,36442,1402,3858,332.06,0,0.0414,229.25,0.47,0
11,643990,2685,64,0,1,133,16190,209,3230,239.758,0,0.0255,205.07,0.73,0
5,118444722,6,281503,0,1,146,12355450,173517,4378,16920674.714,1,0.1058,23679.89,0.33,0
8,2,13,8,1,0,24,2,1,25,0.214,0,1.5,0.09,0.8,1
12,365784,326,32,0,1,126,42183,1940,2270,1118.609,0,0.1206,179.27,0.8,0
15,8535,233,341,1,1,130,0,0,131,36.479,0,0.0,72.99,1.0,0
6,16,26,10,1,1,22,2,2,63,0.63,0,0.25,0.21,0.62,1
7,589956,117,49,0,1,46,29559,1320,2614,4999.636,0,0.0523,199.06,0.47,0
10,18,28,5,0,0,38,3,0,19,0.655,0,0.1667,1.08,0.8,1
16,2389,69,289,1,0,97,0,0,1401,34.143,0,0.0,1.55,1.0,0
14,11,28,6,1,0,43,0,2,70,0.414,0,0.1818,0.15,1.0,1
8,12,10,0,1,1,16,4,2,68,1.182,0,0.5,0.16,0.64,1
3,8925538,70,265016,0,1,171,966292,7809,3608,125711.817,1,0.1091,2277.02,0.2,0
10,0,4,7,0,0,9,0,1,78,0.2,0,0.0,0.0,0.89,1
3,10154,220,142,1,1,50,0,0,318,45.95,0,0.0,30.45,0.2,0
9,772523,2118,150,0,1,155,69382,3329,1900,364.57,0,0.0941,455.43,0.6,0
15,18466,118,170,1,1,76,0,0,1665,155.185,0,0.0,13.23,1.0,0
8,20470,129,386,1,0,72,0,0,839,157.469,0,0.0,22.39,0.53,0
